year,state,employer,salary_median,rate_year,rate_state,rate_employer,rate
2018,MD,gp strategies,75000,2018,MD,gp strategies,1.0
2017,IL,tronc,120000,2017,IL,tronc,1.0
2015,CA,mobilogix,90000,2015,CA,mobilogix,1.0
2017,FL,nictek,71365,2017,FL,nictek,0.5
2016,IL,nextlevel health partners,60000,2016,IL,nextlevel health partners,1.0
2018,MD,newwave telecom,97635,2018,MD,newwave telecom,1.0
2015,UT,prestige,68000,2015,UT,prestige,1.0
2015,WA,wildtangent,55000,2015,WA,wildtangent,1.0
2017,DE,aha,70000,2017,DE,aha,0.5
2019,TX,bbva dallas creation center,120000,2019,TX,bbva dallas creation center,1.0
2015,CA,zti merger subsidiary iii,73000,2015,CA,zti merger subsidiary iii,1.0
2016,CA,poshmark,110000,2016,CA,poshmark,1.0
2016,VA,netvision,85000,2016,VA,netvision,1.0
2019,NY,innovation,63226,2019,NY,innovation,0.14285714285714285
2018,NJ,holtec,80000,2018,NJ,holtec,1.0
2017,MI,acer,71635,2017,MI,acer,1.0
2015,NY,oscar insurance,120000,2015,NY,oscar insurance,1.0
2017,CA,pearl automation,106330,2017,CA,pearl automation,1.0
2019,CA,cumulus,96000,2019,CA,cumulus,1.0
2019,TX,defi  de,77189,2019,TX,defi  de,1.0
2016,TX,anji,60133,2016,TX,anji,1.0
