year,state,employer,salary_median,rate_year,rate_state,rate_employer,rate
2018,NJ,nartal,104874,2018,NJ,nartal,0.14285714285714285
2017,MA,commonwealth equity,108304,2017,MA,commonwealth equity,1.0
2019,CA,zedventures,108784,2019,CA,zedventures,0.5
2019,VA,itek,85800,2019,VA,itek,0.09090909090909091
2019,NJ,inpensa,75200,2019,NJ,inpensa,0.5
2016,CA,dglogik,100000,2016,CA,dglogik,1.0
2017,MA,nutonomy,120000,2017,MA,nutonomy,1.0
2015,NJ,sandokan,68952,2015,NJ,sandokan,1.0
2018,TX,ace cash express,120000,2018,TX,ace cash express,1.0
2015,TX,eg2 mobile,50000,2015,TX,eg2 mobile,1.0
2016,FL,sunit,60486,2016,FL,sunit,1.0
2018,DC,csznet,93933,2018,DC,csznet,1.0
2014,NY,neota logic,72987,2014,NY,neota logic,1.0
2018,CA,sol,100000,2018,CA,sol,0.5
2019,WI,authenticom,50000,2019,WI,authenticom,1.0
2014,WA,point inside,129000,2014,WA,point inside,1.0
2018,IL,sharpedge,112500,2018,IL,sharpedge,1.0
2019,GA,telliant,84240,2019,GA,telliant,0.5
2014,TX,frontier,69000,2014,TX,frontier,1.0
2016,MI,intrepid control,60000,2016,MI,intrepid control,1.0
2017,UT,sorenson media,68250,2017,UT,sorenson media,1.0
2018,NJ,radiant,144000,2018,NJ,radiant,0.5
2016,CA,imorgon medical,115000,2016,CA,imorgon medical,1.0
2015,CA,silvaco,120000,2015,CA,silvaco,1.0
2019,MA,ab ovo north,66000,2019,MA,ab ovo north,1.0
2014,PA,erie indemnity,67500,2014,PA,erie indemnity,1.0
2015,TX,benali,64000,2015,TX,benali,1.0
2014,NH,plexxi,117500,2014,NH,plexxi,1.0
2017,CA,yewno,120000,2017,CA,yewno,1.0
2016,CA,sequoia applied,72000,2016,CA,sequoia applied,1.0
2016,MA,cubic,72000,2016,MA,cubic,1.0
2017,CA,eminent  dba revolve clothing,104000,2017,CA,eminent  dba revolve clothing,1.0
2019,MI,teradyne,79000,2019,MI,teradyne,0.3333333333333333
2017,NY,asset s,110000,2017,NY,asset s,1.0
2018,CA,introlligent,90000,2018,CA,introlligent,0.2
2015,CO,sairoop,65000,2015,CO,sairoop,1.0
2016,IL,phenixp2p,84000,2016,IL,phenixp2p,1.0
2019,DC,kipp dc public charter schools,66061,2019,DC,kipp dc public charter schools,0.5
2016,TX,lexinnova,90000,2016,TX,lexinnova,1.0
2015,MN,id insight,71400,2015,MN,id insight,1.0
2019,MA,connect now,100000,2019,MA,connect now,1.0
